timestamp,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,bid_vol_sum,ask_vol_sum
1768353560,94928.78,0.38869,94928.79,5.16357,0.39295,5.37055
1768353560,94928.78,0.38869,94928.79,5.16357,0.39295,5.37055
1768353561,94928.78,0.38869,94928.79,5.16357,0.39295,5.37055
1768353561,94928.78,0.38863,94928.79,5.16357,0.39283,5.37055
1768353561,94928.78,0.38863,94928.79,5.16357,0.39283,5.37055
1768353561,94928.78,0.38863,94928.79,5.16357,0.39283,5.37055
1768353561,94928.78,0.38851,94928.79,5.16387,0.39277,5.34887
1768353561,94928.78,0.38423,94928.79,5.17231,0.38849,5.70501
1768353561,94928.78,0.38441,94928.79,5.18567,0.38867,5.71825
1768353561,94928.78,0.38441,94928.79,5.18566,0.38867,5.71824
1768353561,94928.78,0.38441,94928.79,5.18566,0.38867,5.71824
1768353561,94928.78,0.38441,94928.79,5.18566,0.38867,5.71824
1768353562,94928.78,0.38441,94928.79,5.18566,0.38867,5.71824
1768353562,94928.78,0.38441,94928.79,5.18566,0.38867,5.71824
1768353562,94928.78,0.38441,94928.79,5.18566,0.38867,5.71824
1768353562,94928.78,0.38441,94928.79,5.18566,0.38867,5.71824
1768353562,94928.78,0.38429,94928.79,5.1859,0.38855,5.71848
1768353562,94928.78,0.38363,94928.79,5.1792,0.38789,5.71178
1768353562,94928.78,0.38375,94928.79,5.17902,0.38795,5.7116
1768353562,94928.78,0.34422,94928.79,5.17896,0.3483,5.71154
1768353562,94928.78,0.343,94928.79,5.17896,0.34714,5.71154
1768353562,94928.78,0.34306,94928.79,5.17896,0.34726,5.71154
1768353563,94928.78,0.343,94928.79,5.17896,0.34714,5.71154
1768353563,94928.78,0.33441,94928.79,5.17896,0.33861,5.71154
1768353563,94928.78,0.33441,94928.79,5.23166,0.33861,5.76424
1768353563,94928.78,0.33411,94928.79,5.17989,0.33819,5.71247
1768353563,94928.78,0.33487,94928.79,5.17989,0.33895,5.71253
1768353563,94928.78,0.33505,94928.79,5.17989,0.33913,5.71253
1768353563,94928.78,0.33435,94928.79,5.17989,0.33843,5.71253
1768353563,94928.78,0.33548,94928.79,5.17989,0.33956,5.71247
1768353563,94928.78,0.33548,94928.79,5.17989,0.33956,5.71247
1768353563,94928.78,0.3354,94928.79,5.17989,0.33948,5.71247
1768353564,94928.78,0.3354,94928.79,5.17989,0.33948,5.71247
1768353564,94928.78,0.3354,94928.79,5.17989,0.33948,5.71247
1768353564,94928.78,0.30886,94928.79,5.19989,0.31276,5.73247
1768353564,94928.78,0.3088,94928.79,5.19989,0.31288,5.73247
1768353564,94928.78,0.30666,94928.79,5.19896,0.31068,5.73154
1768353564,94928.78,0.30684,94928.79,5.19896,0.3108,5.73154
1768353564,94928.78,0.30702,94928.79,5.19896,0.31104,5.73154
1768353564,94928.78,0.30752,94928.79,5.19896,0.3116,5.73154
1768353564,94928.78,0.30758,94928.79,5.19896,0.31166,5.73154
1768353564,94928.78,0.30752,94928.79,5.19896,0.31154,5.73154
1768353565,94928.78,0.30746,94928.79,5.19896,0.31148,5.73154
1768353565,94928.78,0.30758,94928.79,5.19896,0.31166,5.73154
1768353565,94928.78,0.42845,94928.79,5.19926,0.43259,5.73184
1768353565,94928.78,0.30824,94928.79,5.19896,0.31238,5.73154
1768353565,94928.78,0.30824,94928.79,5.19896,0.31238,5.73154
1768353565,94928.78,0.30824,94928.79,5.19896,0.31238,5.73154
1768353565,94928.78,0.30818,94928.79,5.19896,0.31232,5.73154
1768353565,94928.78,0.30818,94928.79,5.19896,0.31226,5.73154
1768353565,94928.78,0.30967,94928.79,5.19896,0.31375,5.73154
1768353565,94928.78,0.30967,94928.79,5.20001,0.31375,5.73259
1768353566,94928.78,0.30747,94928.79,5.20001,0.31155,5.73259
1768353566,94928.78,0.30747,94928.79,5.20001,0.31155,5.73259
1768353566,94928.78,0.30687,94928.79,5.19991,0.31095,5.73249
1768353566,94928.78,0.30639,94928.79,5.19991,0.31047,5.73249
1768353566,94928.78,0.30621,94928.79,5.19991,0.31011,5.73249
1768353566,94928.78,0.30603,94928.79,5.19991,0.30993,5.73249
1768353566,94928.78,0.30615,94928.79,5.19991,0.31011,5.73249
1768353566,94928.78,0.30663,94928.79,5.19991,0.31059,5.73249
1768353566,94928.78,0.30461,94928.79,5.19837,0.30857,5.73095
1768353566,94928.78,0.30509,94928.79,5.20086,0.30905,5.83344
1768353567,94928.78,0.30509,94928.79,5.20086,0.30905,5.83344
1768353567,94928.78,0.30509,94928.79,5.20086,0.30905,5.83344
1768353567,94928.78,0.30509,94928.79,5.20086,0.30905,5.83344
1768353567,94928.78,0.30509,94928.79,5.20098,0.30905,5.83356
1768353567,94928.78,0.30069,94928.79,5.20098,0.30465,5.83356
1768353567,94928.78,0.30069,94928.79,5.20098,0.30465,5.83356
1768353567,94928.78,0.30069,94928.79,5.20098,0.30465,5.83356
1768353567,94928.78,0.29997,94928.79,5.20098,0.30393,5.83356
1768353567,94928.78,0.30045,94928.79,5.20098,0.30441,5.83356
1768353567,94928.78,0.30045,94928.79,5.20098,0.30441,5.83356
1768353568,94928.78,0.30045,94928.79,5.20145,0.30441,5.83403
1768353568,94928.78,0.30045,94928.79,5.20311,0.30441,5.83569
1768353568,94928.78,0.30045,94928.79,5.20311,0.30441,5.83569
1768353568,94928.78,0.2999,94928.79,5.20311,0.30386,5.83569
1768353568,94928.78,0.30038,94928.79,5.20311,0.30434,5.83569
1768353568,94928.78,0.29979,94928.79,5.20311,0.30375,5.83569
1768353568,94928.78,0.29979,94928.79,5.19107,0.30375,5.82365
1768353568,94928.78,0.29955,94928.79,5.19107,0.30351,5.82365
1768353568,94928.78,0.29955,94928.79,5.19107,0.30351,5.82365
1768353568,94928.78,0.29753,94928.79,5.08529,0.30149,5.71787
1768353569,94928.78,0.29753,94928.79,5.08529,0.30149,5.71787
1768353569,94928.78,0.29753,94928.79,5.08529,0.30149,5.71787
1768353569,94928.78,0.29753,94928.79,5.08529,0.30149,5.71787
1768353569,94928.78,0.29753,94928.79,5.08529,0.30155,5.71787
1768353569,94928.78,0.29753,94928.79,5.08529,0.30155,5.71787
1768353569,94928.78,0.29753,94928.79,5.08529,0.30155,5.71787
1768353569,94928.78,0.29741,94928.79,5.06319,0.30131,5.69577
1768353569,94928.78,0.29699,94928.79,5.08529,0.30089,5.71787
1768353569,94928.78,0.29719,94928.79,5.08529,0.30109,5.71787
1768353569,94928.78,0.29719,94928.79,5.08529,0.30109,5.71787
1768353570,94928.78,0.29766,94928.79,5.08529,0.30156,5.71787
1768353570,94928.78,0.29766,94928.79,5.08529,0.30156,5.71787
1768353570,94928.78,0.29617,94928.79,5.08529,0.30007,5.71787
1768353570,94928.78,0.2957,94928.79,5.08707,0.2996,5.71965
1768353570,94928.78,0.2957,94928.79,5.08707,0.2996,5.71965
1768353570,94928.78,0.2935,94928.79,5.08707,0.2974,5.71965
1768353570,94928.78,0.59557,94928.79,5.08731,0.59947,5.71989
1768353570,94928.78,0.47584,94928.79,5.08731,0.4798,5.71989
1768353570,94928.78,0.48084,94928.79,5.08731,0.4848,5.71989
1768353570,94928.78,0.47536,94928.79,5.08731,0.48029,5.71989
1768353571,94928.78,0.4753,94928.79,5.08731,0.48017,5.71989
1768353571,94928.78,0.4753,94928.79,5.08731,0.48017,5.71989
1768353571,94928.78,0.4753,94928.79,5.08731,0.48017,5.71989
1768353571,94928.78,0.4753,94928.79,5.08731,0.48017,5.71989
1768353571,94928.78,0.4753,94928.79,5.08731,0.48017,5.71989
1768353571,94928.78,0.4753,94928.79,5.08731,0.48017,5.71989
1768353571,94928.78,0.4753,94928.79,5.08731,0.48017,5.71989
1768353571,94928.78,0.4753,94928.79,5.08731,0.48017,5.71989
1768353571,94928.78,0.4753,94928.79,5.08731,0.48017,5.71989
1768353571,94928.78,0.4753,94928.79,5.08731,0.48017,5.71989
1768353572,94928.78,0.4731,94928.79,5.08731,0.47797,5.71989
1768353572,94928.78,0.4731,94928.79,5.08731,0.47797,5.71989
1768353572,94928.78,0.4731,94928.79,5.08731,0.47797,5.71989
1768353572,94928.78,0.4731,94928.79,5.08731,0.47797,5.71989
1768353572,94928.78,0.4731,94928.79,5.08731,0.47797,5.71989
1768353572,94928.78,0.41065,94928.79,5.08705,0.41546,5.71963
1768353572,94928.78,0.29112,94928.79,5.08681,0.29593,5.71939
1768353572,94928.78,0.29112,94928.79,5.10275,0.29496,5.73533
1768353572,94928.78,0.29112,94928.79,5.10275,0.29496,5.73533
1768353572,94928.78,0.29112,94928.79,5.10275,0.29496,5.73533
1768353573,94928.78,0.29113,94928.79,5.10275,0.29497,5.73533
1768353573,94928.78,0.29114,94928.79,5.10275,0.29504,5.73533
1768353573,94928.78,0.29114,94928.79,5.10275,0.29504,5.73533
1768353573,94928.78,0.29105,94928.79,5.10275,0.29495,5.73533
1768353573,94928.78,0.29111,94928.79,5.10263,0.29507,5.73521
1768353573,94928.78,0.29111,94928.79,5.10263,0.29507,5.73521
1768353573,94928.78,0.29111,94928.79,5.10263,0.29507,5.73521
1768353573,94928.78,0.29089,94928.79,5.09419,0.29491,5.72677
1768353573,94928.78,0.29059,94928.79,5.09084,0.29455,5.72342
1768353573,94928.78,0.59346,94928.79,4.98863,0.59748,5.62121
1768353574,94928.78,0.5934,94928.79,4.98863,0.59736,5.62121
1768353574,94928.78,0.5934,94928.79,4.98863,0.59736,5.62121
1768353574,94928.78,0.59346,94928.79,4.98863,0.59748,5.62121
1768353574,94928.78,0.59346,94928.79,4.98863,0.59845,5.62121
1768353574,94928.78,0.47307,94928.79,4.98863,0.47794,5.62121
1768353574,94928.78,0.47319,94928.79,4.98863,0.47812,5.62121
1768353574,94928.78,0.47319,94928.79,4.98863,0.47806,5.62121
1768353574,94928.78,0.47319,94928.79,4.98863,0.47806,5.62121
1768353574,94928.78,0.29157,94928.79,4.98857,0.29644,5.62115
1768353574,94928.78,0.41086,94928.79,4.97204,0.41476,5.60462
1768353575,94928.78,0.41154,94928.79,4.9721,0.4155,5.60468
1768353575,94928.78,0.41919,94928.79,4.9721,0.42315,5.60468
1768353575,94928.78,0.41925,94928.79,4.9721,0.42321,5.60468
1768353575,94928.78,0.41925,94928.79,4.9721,0.42315,5.60468
1768353575,94928.78,0.41925,94928.79,4.9721,0.42315,5.60468
1768353575,94928.78,0.41265,94928.79,4.9721,0.41655,5.60468
1768353575,94928.78,0.41265,94928.79,4.9721,0.41655,5.60468
1768353575,94928.78,0.41265,94928.79,4.9721,0.41655,5.60468
1768353575,94928.78,0.41266,94928.79,4.9721,0.41656,5.60468
1768353575,94928.78,0.41266,94928.79,4.9721,0.41656,5.60468
1768353576,94928.78,0.41266,94928.79,4.97221,0.41656,5.60479
1768353576,94928.78,0.41266,94928.79,4.97209,0.41656,5.60467
1768353576,94928.78,0.4124,94928.79,4.97209,0.4163,5.60467
1768353576,94928.78,0.41342,94928.79,4.97209,0.41738,5.60467
1768353576,94928.78,0.41273,94928.79,4.97209,0.41669,5.60467
1768353576,94928.78,0.41273,94928.79,4.97209,0.41669,5.60467
1768353576,94928.78,0.29264,94928.79,4.97018,0.29654,5.60276
1768353576,94928.78,0.29258,94928.79,4.97255,0.29648,5.60513
1768353576,94928.78,0.29258,94928.79,4.97255,0.29648,5.60513
1768353576,94928.78,0.41348,94928.79,4.97255,0.41738,5.60513
1768353577,94928.78,0.40119,94928.79,4.97255,0.40515,5.60513
1768353577,94928.78,0.39459,94928.79,4.97255,0.39849,5.60513
1768353577,94928.78,0.39453,94928.79,4.97255,0.39843,5.60513
1768353577,94928.78,0.3939,94928.79,4.97255,0.3978,5.60513
1768353577,94928.78,0.3939,94928.79,4.97255,0.3978,5.60513
1768353577,94928.78,0.39396,94928.79,4.97188,0.39792,5.60446
1768353577,94928.78,0.3939,94928.79,5.72188,0.3978,6.35446
1768353577,94928.78,0.3939,94928.79,5.72188,0.3978,6.35446
1768353577,94928.78,0.3873,94928.79,5.6411,0.3912,6.27368
1768353577,94928.78,0.26662,94928.79,5.6411,0.27052,6.27368
1768353578,94928.78,0.28489,94928.79,5.8608,0.28879,6.49338
1768353578,94928.78,0.28489,94928.79,5.90109,0.28891,6.23845
1768353578,94928.78,0.15882,94928.79,5.90109,0.16296,6.23851
1768353578,94928.78,0.15882,94928.79,5.86273,0.1629,6.21314
1768353578,94928.78,0.15894,94928.79,5.86273,0.16302,6.26752
1768353578,94928.78,0.14574,94928.79,5.86024,0.14982,6.26509
1768353578,94928.78,0.14574,94928.79,5.86271,0.14982,6.2675
1768353578,94928.78,0.1458,94928.79,5.86271,0.14994,6.21486
1768353578,94928.78,0.1458,94928.79,5.84905,0.14988,6.24085
1768353578,94928.78,0.14574,94928.79,5.86267,0.14982,6.25447
1768353579,94928.78,0.15064,94928.79,5.86267,0.15466,6.25447
1768353579,94928.78,0.15064,94928.79,5.86267,0.15472,6.25447
1768353579,94928.78,0.14926,94928.79,5.86267,0.15334,6.25447
1768353579,94928.78,0.14436,94928.79,5.86267,0.14941,6.25447
1768353579,94928.78,0.26451,94928.79,5.86267,0.26944,6.25447
1768353579,94928.78,0.14424,94928.79,5.86267,0.14917,6.25447
1768353579,94928.78,0.144,94928.79,5.81676,0.14893,6.20856
1768353579,94928.78,0.14412,94928.79,5.81676,0.14917,6.20856
1768353579,94928.78,0.14406,94928.79,5.80425,0.14905,6.19605
1768353579,94928.78,0.144,94928.79,5.80425,0.14796,6.19605
1768353580,94928.78,0.1374,94928.79,5.81115,0.14136,6.20295
1768353580,94928.78,0.1374,94928.79,5.81115,0.14136,6.20295
1768353580,94928.78,0.1374,94928.79,5.81087,0.14136,6.20267
1768353580,94928.78,0.1374,94928.79,5.80921,0.14136,6.20101
1768353580,94928.78,0.1374,94928.79,5.81131,0.14136,6.20311
1768353580,94928.78,0.13746,94928.79,5.82432,0.14148,6.21612
1768353580,94928.78,0.13758,94928.79,5.82432,0.14166,6.21612
1768353580,94928.78,0.1377,94928.79,5.82432,0.1419,6.21612
1768353580,94928.78,0.1377,94928.79,5.82432,0.1419,6.21612
1768353580,94928.78,0.1427,94928.79,5.82432,0.1469,6.21612
1768353581,94928.78,0.1377,94928.79,5.82432,0.1419,6.21612
1768353581,94928.78,0.1377,94928.79,5.82433,0.1419,6.21613
1768353581,94928.78,0.1377,94928.79,5.81258,0.1419,6.20438
1768353581,94928.78,0.13246,94928.79,5.81258,0.13666,6.20438
1768353581,94919.43,0.23016,94919.44,8.35357,0.232,8.51358
1768353581,94919.43,0.88553,94919.44,4.98691,0.88805,5.18536
1768353581,94919.43,0.94752,94919.44,4.98815,1.29764,5.21937
1768353581,94919.43,0.94298,94919.44,5.18901,0.9456,5.50403
1768353581,94919.43,0.95658,94919.44,5.15305,1.3066,5.46813
1768353581,94919.43,1.65034,94919.44,5.26279,2.00048,5.57787
1768353582,94919.43,1.64933,94919.44,5.26279,1.99947,5.60379
1768353582,94919.43,1.59281,94919.44,5.26279,1.94295,5.60379
1768353582,94919.43,1.57145,94919.44,5.26264,1.92159,5.6037
